"","XSA","XCIP"," XSACIP","XSA","XCIP","XSA&CIP"
"y","1.0317 *** (0.0007)","1.0085 *** (0.00110)","1.0461 *** (0.00160)","1.0327 *** (0.00085)","1.0205 *** (0.00150)","1.0609 *** (0.00210)"
"$\bar{z_j}$","0.9975   (0.01185)","1.2822 *** (0.02100)","1.415 *** (0.03325)","0.978 *** (0.01180)","1.2232 *** (0.02040)","1.3077 *** (0.03150)"
"ln k","0.8848 *** (0.0099)","1.7527 *** (0.02640)","1.5616 *** (0.03400)","0.8968 *** (0.01010)","1.821 *** (0.02765)","1.6387 *** (0.03610)"
"ln w","4.6549 *** (0.0788)","0.9332 *** (0.02255)","4.858 *** (0.15630)","4.6775 *** (0.07935)","0.9292 *** (0.02260)","4.8956 *** (0.15910)"
"$N_R$","1.3243 *** (0.02405)","7.8101 *** (0.12555)","12.0039 *** (0.31475)","1.2108 *** (0.04920)","3.0284 *** (0.11255)","4.5694 *** (0.27500)"
"$N_{CIP}$","1.3073 *** (0.02305)","NA  ","NA  ","1.2944 *** (0.02295)","NA  ","NA  "
"$N_{SA}$"," ","1.2158 *** (0.01070)","NA  ","NA  ","1.206 *** (0.01070)","NA  "
"$I_{2014+}$"," "," "," ","0.9488 * (0.03800)","0.754 *** (0.02430)","0.7163 *** (0.04290)"
"$I_{R_{NA}}$"," "," "," ","0.9131 *** (0.04340)","0.38 *** (0.01655)","0.3974 *** (0.02745)"
"$I_{R_{EU}}$"," "," "," ","0.9422 * (0.04515)","0.313 *** (0.01405)","0.3448 *** (0.02415)"
"$I_{R_{AA}}$"," "," "," ","0.7463 *** (0.03675)","0.2295 *** (0.01165)","0.1914 *** (0.01465)"
"$I_{R_{NA}} \times I_{2014+}$"," "," "," ","1.0743 ** (0.04955)","1.0065   (0.04460)","1.0115   (0.07175)"
"$I_{R_{EU}} \times  I_{2014+}$"," "," "," ","0.9553   (0.04450)","1.0384   (0.04935)","0.9381   (0.06915)"
"$I_{R_{AA}} \times  I_{2014+}$"," "," "," ","1.1112 *** (0.05735)","0.8977 ** (0.06070)","0.9505   (0.08935)"
"$\textit{N}$","602599","602599","207281","602599","602599","207281"
"Pseudo $R^2$","0.07253","0.1945","0.3081","0.07346","0.2045","0.3191"
