"","XSA","XCIP"," XSACIP","XSA","XCIP","XSA&CIP"
"y","1.03 *** (0.0008)","1.0019 ** (0.00130)","1.0255 *** (0.00210)","1.0275 *** (0.00095)","1.0117 *** (0.00175)","1.0357 *** (0.00280)"
"$\bar{z_j}$","1.4876 *** (0.01745)","1.3439 *** (0.02630)","1.7655 *** (0.05025)","1.4278 *** (0.01705)","1.266 *** (0.02515)","1.6456 *** (0.04755)"
"ln k","0.5304 *** (0.0058)","1.755 *** (0.03110)","1.132 *** (0.02920)","0.5432 *** (0.00600)","1.8324 *** (0.03260)","1.188 *** (0.03070)"
"ln w","1.756 *** (0.02865)","0.8891 *** (0.02570)","1.8158 *** (0.07365)","1.7879 *** (0.02930)","0.8886 *** (0.02575)","1.7995 *** (0.07290)"
"$N_R$","1.7625 *** (0.02645)","6.2972 *** (0.11395)","8.4242 *** (0.22290)","1.8532 *** (0.06005)","2.6172 *** (0.10510)","4.0712 *** (0.22645)"
"$N_{CIP}$","1.4289 *** (0.01975)","","","1.4154 *** (0.01965)","",""
"$N_{SA}$"," ","1.2301 *** (0.01285)","","","1.2154 *** (0.01275)",""
"$I_{2014+}$"," "," "," ","1.0292   (0.03160)","0.7704 *** (0.02690)","0.7949 *** (0.04055)"
"$I_{R_{NA}}$"," "," "," ","1.1223 *** (0.04335)","0.4052 *** (0.01970)","0.5113 *** (0.03520)"
"$I_{R_{EU}}$"," "," "," ","1.1918 *** (0.04650)","0.3269 *** (0.01660)","0.404 *** (0.02965)"
"$I_{R_{AA}}$"," "," "," ","0.6259 *** (0.02655)","0.1718 *** (0.01100)","0.1557 *** (0.01560)"
"$I_{R_{NA}} \times I_{2014+}$"," "," "," ","1.0528 ** (0.03850)","1.0398   (0.05420)","1.0094   (0.07635)"
"$I_{R_{EU}} \times  I_{2014+}$"," "," "," ","1.0435 * (0.03900)","1.1137 *** (0.06315)","1.0349   (0.08885)"
"$I_{R_{AA}} \times  I_{2014+}$"," "," "," ","1.2744 *** (0.05930)","1.0806   (0.10095)","1.2098 * (0.17825)"
"$\textit{N}$","602599","602599","430801","602599","602599","430801"
"Pseudo $R^2$","0.0496","0.17157","0.19193","0.05545","0.1837","0.20409"
